Latitude;Longitude;Elevation (metres);Distance (KMs);sin_A
-12.4668;130.97937;30.2;20.026;0.017647
-12.467;130.97961;30.8;20.06;0.016129
-12.46718;130.97983;31.3;20.091;0.021429
-12.46727;130.97992;31.6;20.105;0.014286
-12.46739;130.98007;31.9;20.126;0.0075472
-12.46766;130.98047;32.3;20.179;0.0075758
-12.46798;130.980975;32.8;20.245;0.0030769
-12.4683;130.98148;33;20.31;0
-12.46851;130.98182;33;20.354;-0.002
-12.46874;130.98222;32.9;20.404;0.0057143
-12.46903;130.98279;33.3;20.474;0.0083333
-12.46921;130.98319;33.7;20.522;0.014286
-12.46926;130.98331;33.9;20.536;0.016418
-12.46946;130.98389;35;20.603;0.0052632
-12.46955;130.98423;35.2;20.641;0.0018868
-12.46966;130.9847;35.3;20.694;0
-12.46972;130.98496;35.3;20.723;0.011321
-12.46983;130.98544;35.9;20.776;0.013559
-12.46994;130.98597;36.7;20.835;0.0065217
-12.470113;130.98679;37.3;20.927;0.0010989
-12.470287;130.98761;37.4;21.018;-0.0043956
-12.47046;130.98843;37;21.109;0.010638
-12.47055;130.98885;37.5;21.156;0.017857
-12.4706;130.98911;38;21.184;0.025373
-12.47074;130.98971;39.7;21.251;0.038462
-12.47076;130.98982;40.2;21.264;-0.0018868
-12.47085;130.9903;40.1;21.317;-0.0015625
-12.47097;130.99088;40;21.381;0.0375
-12.47105;130.99131;41.8;21.429;0.019277
-12.47124;130.99205;43.4;21.512;-0.018571
-12.47142;130.99267;42.1;21.582;-0.011475
-12.47161;130.99319;41.4;21.643;-0.005
-12.47167;130.99337;41.3;21.663;0.02381
-12.47181;130.99373;42.3;21.705;0.02459
-12.47202;130.99424;43.8;21.766;0.0029412
-12.47228;130.99481;44;21.834;0.019643
-12.47251;130.99527;45.1;21.89;0.012
-12.472735;130.99567;45.7;21.94;0.018
-12.47296;130.99607;46.6;21.99;-0.011392
-12.47335;130.99667;45.7;22.069;-0.0041667
-12.47361;130.99703;45.5;22.117;0.0125
-12.47365;130.99709;45.6;22.125;0.014286
-12.47391;130.99745;46.3;22.174;0.0033898
-12.47425;130.99787;46.5;22.233;-0.0085714
-12.47466;130.99835;45.9;22.303;-0.023469
-12.47528;130.99899;43.6;22.401;-0.021739
-12.47574;130.999417;42.1;22.47;-0.031884
-12.4762;130.999843;39.9;22.539;-0.03913
-12.47666;131.00027;37.2;22.608;-0.028571
-12.477075;131.000665;35.4;22.671;-0.025397
-12.47749;131.00106;33.8;22.734;-0.0081967
-12.477895;131.001435;33.3;22.795;-0.0098361
-12.4783;131.00181;32.7;22.856;-0.020755
-12.478655;131.00214;31.6;22.909;-0.011321
-12.47901;131.00247;31;22.962;0.0052083
-12.479637;131.003067;31.5;23.058;0.013684
-12.480263;131.003663;32.8;23.153;0.031579
-12.48089;131.00426;35.8;23.248;0.0047619
-12.48116;131.00453;36;23.29;-0.02
-12.48138;131.00476;35.3;23.325;-0.032787
-12.48175;131.00517;33.3;23.386;-0.029508
-12.48211;131.00559;31.5;23.447;-0.028571
-12.48231;131.00585;30.5;23.482;-0.027027
-12.48252;131.00611;29.5;23.519;-0.033333
-12.48266;131.00628;28.7;23.543;-0.020833
-12.48279;131.00645;28.2;23.567;-0.024
-12.48293;131.00663;27.6;23.592;-0.017391
-12.48306;131.0068;27.2;23.615;-0.008
-12.4832;131.00698;27;23.64;-0.016667
-12.48334;131.00715;26.6;23.664;-0.016667
-12.48347;131.00732;26.2;23.688;-0.013043
-12.48361;131.00748;25.9;23.711;-0.0071429
-12.48369;131.00757;25.8;23.725;0.0055556
-12.48391;131.00782;26;23.761;0.013889
-12.48414;131.00805;26.5;23.797;0.016667
-12.48437;131.00828;27.1;23.833;0.03125
-12.48469;131.00858;28.6;23.881;0.052941
-12.48492;131.00879;30.4;23.915;0.057143
-12.48502;131.00887;31.2;23.929;0.056
-12.48519;131.00901;32.6;23.954;0.06087
-12.48536;131.00914;34;23.977;0.058333
-12.48544;131.00921;34.7;23.989;0.033333
-12.48562;131.00933;35.5;24.013;0.033333
-12.4858;131.00946;36.3;24.037;0.029167
-12.48598;131.00958;37;24.061;0.008
-12.48617;131.0097;37.2;24.086;0
-12.48635;131.0098;37.2;24.109;-0.0027027
-12.48664;131.00996;37.1;24.146;0.014583
